,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
808,us-news/2020/feb/28/third-coronavirus-case-confirmed-in-silicon-valley-amid-fears-of-local-spread,article,us-news,US news,2020-02-29T04:21:24Z,US confirms two new coronavirus cases without links to travel,https://www.theguardian.com/us-news/2020/feb/28/third-coronavirus-case-confirmed-in-silicon-valley-amid-fears-of-local-spread,https://content.guardianapis.com/us-news/2020/feb/28/third-coronavirus-case-confirmed-in-silicon-valley-amid-fears-of-local-spread,False,pillar/news,News
809,us-news/2020/feb/28/trump-calls-coronavirus-outbreak-a-hoax-and-links-it-to-immigration-at-rally,article,us-news,US news,2020-02-29T03:40:48Z,Trump calls coronavirus criticism Democrats' 'new hoax' and links it to immigration,https://www.theguardian.com/us-news/2020/feb/28/trump-calls-coronavirus-outbreak-a-hoax-and-links-it-to-immigration-at-rally,https://content.guardianapis.com/us-news/2020/feb/28/trump-calls-coronavirus-outbreak-a-hoax-and-links-it-to-immigration-at-rally,False,pillar/news,News
810,world/live/2020/feb/28/coronavirus-live-updates-latest-news-china-wuhan-stock-markets-update,liveblog,world,World news,2020-02-29T02:22:07Z,Italy Covid-19 death toll rises to 21 as UK confirms 20th case – as it happened,https://www.theguardian.com/world/live/2020/feb/28/coronavirus-live-updates-latest-news-china-wuhan-stock-markets-update,https://content.guardianapis.com/world/live/2020/feb/28/coronavirus-live-updates-latest-news-china-wuhan-stock-markets-update,False,pillar/news,News
811,us-news/live/2020/feb/28/joe-biden-south-carolina-mike-pompeo-iran-iraq-donald-trump-live-updates,liveblog,us-news,US news,2020-02-29T01:14:51Z,Trump nominates John Ratcliffe for top intelligence officer post – as it happened,https://www.theguardian.com/us-news/live/2020/feb/28/joe-biden-south-carolina-mike-pompeo-iran-iraq-donald-trump-live-updates,https://content.guardianapis.com/us-news/live/2020/feb/28/joe-biden-south-carolina-mike-pompeo-iran-iraq-donald-trump-live-updates,False,pillar/news,News
812,world/live/2020/mar/01/coronavirus-latest-updates-coronavirus-live-updates-latest-news-china-wuhan-stock-markets-update-china-iran-us-australia-south-korea-japan,liveblog,world,World news,2020-03-01T23:52:34Z,Italy death toll rises to 34 as Dominican Republic reports first case – as it happened,https://www.theguardian.com/world/live/2020/mar/01/coronavirus-latest-updates-coronavirus-live-updates-latest-news-china-wuhan-stock-markets-update-china-iran-us-australia-south-korea-japan,https://content.guardianapis.com/world/live/2020/mar/01/coronavirus-latest-updates-coronavirus-live-updates-latest-news-china-wuhan-stock-markets-update-china-iran-us-australia-south-korea-japan,False,pillar/news,News
813,business/2020/mar/02/australian-stock-market-falls-more-than-2-over-coronavirus-impact,article,business,Business,2020-03-01T23:51:33Z,Australian stock market falls more than 2% over coronavirus impact,https://www.theguardian.com/business/2020/mar/02/australian-stock-market-falls-more-than-2-over-coronavirus-impact,https://content.guardianapis.com/business/2020/mar/02/australian-stock-market-falls-more-than-2-over-coronavirus-impact,False,pillar/news,News
814,world/2020/mar/02/what-happens-if-coronavirus-spreads-in-australia,article,world,World news,2020-03-01T22:19:16Z,What happens if coronavirus spreads in Australia?,https://www.theguardian.com/world/2020/mar/02/what-happens-if-coronavirus-spreads-in-australia,https://content.guardianapis.com/world/2020/mar/02/what-happens-if-coronavirus-spreads-in-australia,False,pillar/news,News
815,sport/2020/mar/01/sam-underhill-warns-england-of-extra-edge-to-wales-game,article,sport,Sport,2020-03-01T22:00:26Z,Sam Underhill warns England of  'extra edge' to Wales game,https://www.theguardian.com/sport/2020/mar/01/sam-underhill-warns-england-of-extra-edge-to-wales-game,https://content.guardianapis.com/sport/2020/mar/01/sam-underhill-warns-england-of-extra-edge-to-wales-game,False,pillar/sport,Sport
816,world/2020/mar/01/coronavirus-outbreak-us-cases-chicago-rhode-island,article,world,World news,2020-03-01T20:07:38Z,Coronavirus outbreak: US confirms cases in Chicago and Rhode Island,https://www.theguardian.com/world/2020/mar/01/coronavirus-outbreak-us-cases-chicago-rhode-island,https://content.guardianapis.com/world/2020/mar/01/coronavirus-outbreak-us-cases-chicago-rhode-island,False,pillar/news,News
817,australia-news/2020/mar/02/morning-mail-coronavirus-fatalities-rise-biden-fights-back-farms-on-the-climate-frontline,article,australia-news,Australia news,2020-03-01T19:55:28Z,"Morning mail: coronavirus fatalities rise, Biden fights back, farms on the climate frontline",https://www.theguardian.com/australia-news/2020/mar/02/morning-mail-coronavirus-fatalities-rise-biden-fights-back-farms-on-the-climate-frontline,https://content.guardianapis.com/australia-news/2020/mar/02/morning-mail-coronavirus-fatalities-rise-biden-fights-back-farms-on-the-climate-frontline,False,pillar/news,News
818,world/2020/mar/01/twelve-more-people-test-positive-coronavirus-in-uk,article,world,World news,2020-03-01T19:37:37Z,Coronavirus: UK fears of undetected cases grow as 13 more test positive,https://www.theguardian.com/world/2020/mar/01/twelve-more-people-test-positive-coronavirus-in-uk,https://content.guardianapis.com/world/2020/mar/01/twelve-more-people-test-positive-coronavirus-in-uk,False,pillar/news,News
819,world/2020/mar/01/coronavirus-deaths-iran-rise-global-outbreak-worsens,article,world,World news,2020-03-01T18:57:04Z,"New coronavirus cases jump sharply in Europe, with Italy worst hit",https://www.theguardian.com/world/2020/mar/01/coronavirus-deaths-iran-rise-global-outbreak-worsens,https://content.guardianapis.com/world/2020/mar/01/coronavirus-deaths-iran-rise-global-outbreak-worsens,False,pillar/news,News
820,fashion/2020/mar/01/splashing-out-in-paris-balenciaga-floods-venue-for-fashion-show,article,fashion,Fashion,2020-03-01T18:31:36Z,Splashing out in Paris: Balenciaga floods venue for fashion show,https://www.theguardian.com/fashion/2020/mar/01/splashing-out-in-paris-balenciaga-floods-venue-for-fashion-show,https://content.guardianapis.com/fashion/2020/mar/01/splashing-out-in-paris-balenciaga-floods-venue-for-fashion-show,False,pillar/lifestyle,Lifestyle
821,commentisfree/2020/mar/01/the-guardian-view-on-trouble-at-the-home-office-ideology-trumps-good-governance,article,commentisfree,Opinion,2020-03-01T18:29:12Z,The Guardian view on trouble at the Home Office: ideology trumps good governance | Editorial,https://www.theguardian.com/commentisfree/2020/mar/01/the-guardian-view-on-trouble-at-the-home-office-ideology-trumps-good-governance,https://content.guardianapis.com/commentisfree/2020/mar/01/the-guardian-view-on-trouble-at-the-home-office-ideology-trumps-good-governance,False,pillar/opinion,Opinion
822,sport/2020/mar/01/chris-froome-among-cyclists-cleared-to-leave-uae-after-coronavirus-scare,article,sport,Sport,2020-03-01T18:11:06Z,Chris Froome among cyclists cleared to leave UAE after coronavirus scare,https://www.theguardian.com/sport/2020/mar/01/chris-froome-among-cyclists-cleared-to-leave-uae-after-coronavirus-scare,https://content.guardianapis.com/sport/2020/mar/01/chris-froome-among-cyclists-cleared-to-leave-uae-after-coronavirus-scare,False,pillar/sport,Sport
823,lifeandstyle/2020/mar/01/housewives-register-their-disapproval,article,lifeandstyle,Life and style,2020-03-01T18:10:56Z,Housewives register their disapproval | Brief letters,https://www.theguardian.com/lifeandstyle/2020/mar/01/housewives-register-their-disapproval,https://content.guardianapis.com/lifeandstyle/2020/mar/01/housewives-register-their-disapproval,False,pillar/lifestyle,Lifestyle
824,us-news/2020/mar/01/mike-bloomberg-tv-ad-coronavirus,article,us-news,US news,2020-03-01T16:44:01Z,Mike Bloomberg addresses US in TV ad on coronavirus and Trump response,https://www.theguardian.com/us-news/2020/mar/01/mike-bloomberg-tv-ad-coronavirus,https://content.guardianapis.com/us-news/2020/mar/01/mike-bloomberg-tv-ad-coronavirus,False,pillar/news,News
825,media/2020/mar/02/saving-seven-does-james-warburton-have-a-plan-b-for-the-ailing-media-company,article,media,Media,2020-03-01T16:30:19Z,Saving Seven: does James Warburton have a plan B for the ailing media company?,https://www.theguardian.com/media/2020/mar/02/saving-seven-does-james-warburton-have-a-plan-b-for-the-ailing-media-company,https://content.guardianapis.com/media/2020/mar/02/saving-seven-does-james-warburton-have-a-plan-b-for-the-ailing-media-company,False,pillar/news,News
